Krajina,Kód,Hlavné mesto,Obyvateľské meno,Prídavné meno,Mena,Continent,Colour,CapitalLatitude,CapitalLongitude
Afganistan,AF,Kábul,"Afganec, Afganka",afganský,afgán,Asia,6,34.516666666666666,69.18333299999999
Alandy,AX,Mariehamn,"Alanďan, Alanďanka",alandský,euro,Europe,2,60.11666700000001,19.9
Albánsko,AL,Tirana,"Albánec, Albánka",albánsky,lek,Europe,2,41.31666666666667,19.816667000000002
Alžírsko,DZ,Alžír,"Alžírčan, Alžírčanka; Alžírec, Alžírka",alžírsky,alžírsky dinár,Africa,5,36.75,3.05
Americká Samoa,AS,Pago Pago,obyvateľ Americkej Samoy,americkosamojský,americký dolár,Oceania,1,-14.266666666666667,-170.7
Americké Panenské ostrovy,VI,Charlotte Amalie,"obyvateľ, obyvateľka Amerických Panenských ostrovov",z Amerických Panenských ostrovov,americký dolár,North America,3,18.35,-64.93333299999999
Andorra,AD,Andorra,"Andorrčan, Andorrčanka",andorrský,euro,Europe,2,42.5,1.516667
Angola,AO,Luanda,"Angolčan, Angolčanka",angolský,kwanza,Africa,5,-8.833333333333334,13.216667000000001
Anguilla,AI,Valley,"Anguillčan, Anguillčanka",anguillský,východokaribský dolár,North America,3,18.216666666666665,-63.05
Antarktída,AQ,—,—,antarktický,—,Antarctica,7,-75.250973,-0.071389
Antigua a Barbuda,AG,Saint John’s,"Antiguan a Barbuďan, Antiguanka a Barbuďanka",antiguanský a barbudský,východokaribský dolár,North America,3,17.116666666666667,-61.85
Argentína,AR,Buenos Aires,"Argentínčan, Argentínčanka; Argentínec, Argentínka",argentínsky,argentínske peso,South America,4,-34.583333333333336,-58.666667000000004
Arménsko,AM,Jerevan,"Armén, Arménka",arménsky,dram,Europe,2,40.16666666666666,44.5
Aruba,AW,Oranjestad,"Arubčan, Arubčanka",arubský,arubský gulden,North America,3,12.516666666666667,-70.033333
Austrália,AU,Canberra,"Austrálčan, Austrálčanka",austrálsky,austrálsky dolár,Oceania,1,-35.266666666666666,149.133333
Azerbajdžan,AZ,Baku,"Azerbajdžanec, Azerbajdžanka",azerbajdžanský,azerbajdžanský manat,Europe,2,40.38333333333333,49.866667
Bahamy,BS,Nassau,"Bahamčan, Bahamčanka",bahamský,bahamský dolár,North America,3,25.08333333333333,-77.35
Bahrajn,BH,Manáma,"Bahrajňan, Bahrajňanka",bahrajnský,bahrajnský dinár,Asia,6,26.23333333333333,50.566666999999995
Bangladéš,BD,Dháka,"Bangladéšan, Bangladéšanka",bangladéšsky,taka,Asia,6,23.716666666666665,90.4
Barbados,BB,Bridgetown,"Barbadosan, Barbadosanka",barbadoský,barbadoský dolár,North America,3,13.1,-59.61666700000001
Belgicko,BE,Brusel,"Belgičan, Belgičanka",belgický,euro,Europe,2,50.83333333333334,4.3333330000000005
Belize,BZ,Belmopan,"Belizan, Belizanka",belizský,belizský dolár,North America,3,17.25,-88.766667
Benin,BJ,Porto-Novo,"Beninčan, Beninčanka",beninský,frank CFA,Africa,5,6.4833333333333325,2.6166669999999996
Bermudy,BM,Hamilton,"Bermudčan, Bermudčanka; Bermuďan, Bermuďanka",bermudský,bermudský dolár,North America,3,32.28333333333333,-64.783333
Bhután,BT,Thimphu,"Bhutánčan, Bhutánčanka",bhutánsky,ngultrum/indická rupia,Asia,6,27.466666666666665,89.633333
Bielorusko,BY,Minsk,"Bielorus, Bieloruska",bieloruský,bieloruský rubeľ,Europe,2,53.9,27.566667
Bolívia,BO,Sucre,"Bolívijčan, Bolívijčanka",bolívijský,boliviano,South America,4,-16.5,-68.15
Bosna a Hercegovina,BA,Sarajevo,"Bosniak a Hercegovinec, Bosniačka a Hercegovinka",bosniansky a hercegovinský,konvertibilná marka,Europe,2,43.86666666666667,18.416667
Botswana,BW,Gaborone,"Botswančan, Botswančanka",botswanský,pula,Africa,5,-24.63333333333333,25.9
Bouvetov ostrov,BV,—,—,bouvetský,—,Antarctica,7,-17.533333333333335,-149.566667
Brazília,BR,Brazília,"Brazílčan, Brazílčanka",brazílsky,real,South America,4,-15.783333333333333,-47.916667
Britské indickooceánske územie,IO,—,—,z Britských indickooceánskych území,americký dolár,Asia,6,-7.3,72.4
Britské Panenské ostrovy,VG,Road Town,"obyvateľ, obyvateľka Britských Panenských ostrovov",z Britských Panenských ostrovov,americký dolár,North America,3,18.416666666666668,-64.616667
Brunej,BN,Bandar Seri Begawan,"Brunejčan, Brunejčanka",brunejský,brunejský dolár,Asia,6,4.883333333333333,114.933333
Bulharsko,BG,Sofia,"Bulhar, Bulharka",bulharský,lev,Europe,2,42.68333333333333,23.316667000000002
Burkina,BF,Ouagadougou,"Burkinčan, Burkinčanka",burkinský,frank CFA,Africa,5,12.366666666666667,-1.516667
Burundi,BI,Bujumbura,"Burunďan, Burunďanka",burundský,burundský frank,Africa,5,-3.3666666666666667,29.35
Chorvátsko,HR,Záhreb,"Chorvát, Chorvátka",chorvátsky,kuna,Europe,2,45.8,16.0
Clipperton,CP,—,—,clippertonský,—,Asia,6,39.016666666666666,125.75
Cookove ostrovy,CK,Avarua,"obyvateľ, obyvateľka Cookových ostrovov",z Cookových ostrovov,novozélandský dolár,Oceania,1,-21.2,-159.76666699999998
Curaçao,CW,Willemstad,"obyvateľ, obyvateľka Curaçaa",curaçaoský,antilský gulden,North America,3,12.1,-68.916667
Cyprus,CY,Nikózia,"Cyperčan, Cyperčanka",cyperský,euro,Europe,2,35.166666666666664,33.366667
Čad,TD,N’Djamena,"Čadčan, Čadčanka",čadský,frank CFA,Africa,5,12.1,15.033332999999999
Česko,CZ,Praha,"Čech, Češka",český,česká koruna,Europe,2,50.08333333333334,14.466667000000001
Čierna Hora,ME,Podgorica,"Čiernohorec, Čiernohorka",čiernohorský,euro,Europe,2,42.43333333333333,19.266667
Čile,CL,Santiago,"Čiľan, Čiľanka",čilský,čilské peso,South America,4,-33.45,-70.666667
Čína,CN,Peking,"Číňan, Číňanka",čínsky,jüan,Asia,6,39.91666666666666,116.38333300000001
Dánsko,DK,Kodaň,"Dán, Dánka",dánsky,dánska koruna,Europe,2,55.66666666666666,12.583333
Dominika,DM,Roseau,"Dominičan, Dominičanka",dominický,východokaribský dolár,North America,3,15.3,-61.4
Dominikánska republika,DO,Santo Domingo,"Dominikánec, Dominikánka",dominikánsky,dominikánske peso,North America,3,18.466666666666665,-69.9
Džibutsko,DJ,Džibuti,"Džibuťan, Džibuťanka",džibutský,džibutský frank,Africa,5,11.583333333333336,43.15
Egypt,EG,Káhira,"Egypťan, Egypťanka",egyptský,egyptská libra,Africa,5,30.05,31.25
